title,body,labels,assignee,milestone,priority
タスク000: 見積もりについて,"# 📊 見積もりについて - スクラム開発の基本を学ぼう！

## 🌟 はじめに

こんにちは！これからチーム開発で必要な「見積もり」について、初心者でもわかるように説明します。
見積もりは、タスクにかかる時間を予測する大切なスキルです。一緒に学んでいきましょう！

## 🎯 このIssueで学ぶこと

1. **見積もりの基本概念**
2. **プランニングポーカーの方法**  
3. **ストーリーポイントの考え方**
4. **実際の練習**（タスク001を使って）

## 📖 見積もりとは？

**見積もり（Estimation）**とは、あるタスクを完了するために必要な **工数（時間・労力）** を予測することです。

### なぜ見積もりが大切なの？

- **スケジュール計画**: いつまでに何が完了するかがわかる
- **リソース管理**: チームのキャパシティを把握できる  
- **リスク管理**: 遅れそうなタスクを事前に察知できる
- **コミュニケーション**: チーム内で共通認識を持てる

## 🃏 プランニングポーカーの方法

**プランニングポーカー**は、チーム全員で見積もりを行う手法です。

### 🔢 ポイントの意味

| ポイント | 目安時間 | 難易度 | 例 |
|----------|----------|--------|-----|
| **1** | 0.5〜1時間 | とても簡単 | HTMLの微修正、変数名変更 |
| **2** | 1〜2時間 | 簡単 | 単純なフォーム作成、既存機能の小修正 |
| **3** | 2〜4時間 | やや簡単 | データベース接続、基本的なCRUD |
| **5** | 4〜8時間 | 普通 | 新しいページ作成、API連携 |
| **8** | 1〜2日 | やや難しい | 複雑な業務ロジック、テスト込み実装 |
| **13** | 2〜3日 | 難しい | 新機能の設計から実装まで |
| **21** | 1週間+ | とても難しい 
 | 大規模な機能追加、リファクタリング |

### 🎮 ゲームの進め方

1. **全員でIssueを読む**
2. **各自が秘密で見積もり**（カードを裏向きで出す）
3. **同時にオープン！**
4. **差が大きい場合は話し合い**
5. **再度見積もり**
6. **合意できたら確定！**

## 💡 見積もりのコツ

### ✅ 良い見積もりのポイント

- **過去の経験を活用**
- **不確実性を考慮**（わからない部分は多めに）
- **チーム全体で議論**
- **技術的負債も含める**

### ⚠️ よくある落とし穴

- **理想的すぎる見積もり**（全部うまくいくと仮定）
- **個人差を考慮しない**（得意・不得意分野がある）
- **テスト・デバッグ時間を忘れる**
- **外部要因を考慮しない**（レビュー待ち、他タスクとの競合）

## 🎯 練習：タスク001を見積もってみよう！

さあ、実際に練習してみましょう！

### 📋 手順

**みんなでタスク001のIssueを読む**

次にタスク001のIssueを確認して、以下を考えてみてください：

1. **何をするタスクですか？**
2. **どんな作業が含まれますか？**
3. **どの部分が難しそうですか？**
4. **過去に似た経験はありますか？**

### 🤔 考慮すべき要素

**タスク001で考えること：**
- リポジトリ作成の手順理解
- メンバー招待の手間
- 環境構築の複雑さ
- メンバー間のスキル差
- 発生しそうな技術的問題

### 🎲 みんなで見積もり

1. **各自で考える時間：3分**
2. **ポイントを決める**（1, 2, 3, 5, 8, 13, 21から選択）
3. **せーので発表！**
4. **違いについて話し合い**
5. **合意形成**

### 📝 結果を記録

合意できた見積もりポイントを以下にメモしてください：

```
タスク：タスク001の内容
チーム見積もり結果：[ ]ポイント
決定理由：

メンバー個別の初期見積もり：
- メンバーA: [ ]ポイント
- メンバーB: [ ]ポイント  
- メンバーC: [ ]ポイント
- メンバーD: [ ]ポイント

話し合いのポイント：
- 

最終的な合意理由：
- 
```

## 📚 次のステップ

見積もりの練習ができたら：

1. **他のタスクでも練習**（タスク002, 003...）
2. **実際の開発で見積もりと実績を比較**
3. **チームの見積もり精度を向上**

## 🎉 まとめ

見積もりは**完璧である必要はありません**！
大切なのは：

- **チーム全体で同じ認識を持つ**
- **継続的に改善していく**
- **経験を積み重ねる**

最初は外れても大丈夫。たくさん練習して、チームみんなで上達していきましょう！

---

⚠️ **重要：全ての見積もりが完了したら、メンターに報告してください。**

*このIssueは常に参照できるようにピン留めしておきます📌*","task,estimation,documentation,sprint-planning,tutorial",,high,
タスク1: 環境構築,"# 概要
[イマココSNS用ベース](https://github.com/prum-jp/imakoko-base)を使用してチーム開発環境を構築する

## 手順
1. 上記テンプレートを利用して、メンバー内の誰かの個人のリポジトリにプロジェクトを作成する（private）
2. メンバー全員、担当メンターを招待する
3. それぞれ環境構築を実施する
4. ローカルで初期画面が表示されたらOK

# 完了条件
- [ ] メンバー全員が上記の環境構築を完了する","task,Required",,,medium
タスク2: Seed作成,"# 概要

Users, Follows, Posts, Commentsのseedを作成する


# 完了条件

* [ ] Users、Follows、Posts、Commentsのseedを作成する
* [ ] チーム内レビュー
* [ ] mainブランチにマージ","task,Required",,,medium
タスク3: ユーザー登録機能実装,"# 概要

要件：

新規登録機能を実装する

バリデーション・エラーメッセージはチームで検討し、メンターに共有のうえ実装をする
参考資料：[仕様確認資料](https://docs.google.com/spreadsheets/d/1Ihmt6zirgmW8lPBM_Omy375X7Wkn5jZ07Do1gI16Z4Q/edit?gid=961004626#gid=961004626)
* 「ログインする」をクリックするとログイン画面に遷移する
* 新規登録に成功するとユーザーのホームに遷移する
* プロフィール画像が設定されなかった場合、初期画像（PRUMのロゴ画像）が設定される。またサムネイル画像は初期表示としてグレー背景になる。

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=24-57&mode=design&t=b6ZlLFIYKdS56SVZ-0)

# 完了条件

子課題が全て完了すること","task,Required",,,medium
タスク4: ログイン機能実装,"# 概要

要件：

ログイン機能を実装する
* メールアドレス（emai）もしくはユーザー名（user_name）とパスワードでログインできる
* バリデーションはチームで検討し、メンターに共有のうえ実装する
参考：[仕様確認資料](https://docs.google.com/spreadsheets/d/1Ihmt6zirgmW8lPBM_Omy375X7Wkn5jZ07Do1gI16Z4Q/edit?gid=961004626#gid=961004626)
* ログインが成功するとユーザーのホームへ遷移する
* ログインに失敗するとエラーメッセージを表示する。
* 「新規申し込みはこちらへ」をクリックすると新規登録画面に遷移する

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=24-32&mode=design&t=b6ZlLFIYKdS56SVZ-0)

# 完了条件

子課題を全て完了する","task,Required",,,medium
タスク5: ログアウト,"# 概要

要件：

ログアウト機能を実装する
* サイドバーから「ログアウト」ボタンをクリックするとモーダルが出現し、ログアウトするかキャンセルするか選択できる
* 「ログアウト」ボタンをクリックするとログインページにリダイレクトする
* 「キャンセル」ボタンをクリックすると元の画面に戻る

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=58-327&mode=design&t=WCt5rxtAIB1Wj5sF-0)


# 完了条件

子課題が全て完了すること","task,Required",,,medium
タスク6: サイドバーviewだけ,"# 概要
サイドバーのviewだけ実装する

## 要件
- サイドバーのviewだけ実装

# 完了条件
- [ ] チーム内レビュー
- [ ] mainブランチにマージ","task,Required",,,medium
タスク7: ログインユーザーのホーム,"# 概要

要件：

* ログインユーザーのアイコンをクリックすると遷移する
* ログインユーザーのホーム
* 赤枠以外の部分は別チケットで対応する

[Figma](https://www.figma.com/design/92zht7KlFzNk3wqGAdKp9S/%E3%82%A2%E3%82%AB%E3%83%87%E3%83%9F%E3%83%BC%E3%83%87%E3%82%B6%E3%82%A4%E3%83%B3?node-id=81-2203)

# 完了条件

子課題が全て完了すること","task,Required",,,medium
タスク8: ユーザーのツイート一覧,"# 概要

要件：

* ログインユーザーの投稿したツイートが一覧で表示される（返信は除く）
* 日時の降順で表示される

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=56-105&mode=design&t=WCt5rxtAIB1Wj5sF-0)

# 完了条件

子課題を全て完了する","task,Required",,,medium
タスク9: ユーザーのツイートと返信一覧,"# 概要

要件：
* ログインユーザーの投稿したツイートと返信が一覧で表示される
* 日付の降順で表示される

[Figma](https://www.figma.com/file/l8Zzw1wPJBitm0bQMNXTdB/%E3%82%A4%E3%83%9E%E3%82%B3%E3%82%B3SNS?type=design&node-id=81-2203&mode=design&t=WCt5rxtAIB1Wj5sF-0)

# 完了条件

子課題が全て完了する","task,Required",,,medium
